Settlement Date,Spot Price ($/MWh),Scheduled Demand (MW),Scheduled Generation (MW),Semi Scheduled Generation (MW),Net Import (MW),Type
timestamp,$/MWh,MW,MW,MW,MW,string
none,linear,linear,linear,linear,linear,step
,,,90day,,,
06/06/2018 08:30,213.34,9611.47,7592.73,400.4,-1585.16,Actual
06/06/2018 09:00,163.64,9356.16,7216.61,460.46,-1627.38,Actual
06/06/2018 09:30,144.53,9256,7010.98,538.88,-1645.7,Actual
06/06/2018 10:00,105.61,9102.98,7002.1,547.61,-1497.61,Actual
06/06/2018 10:30,103.83,8998.11,6734.38,585.73,-1619.9,Actual
06/06/2018 11:00,97.52,8858.5,6574.66,611.68,-1611.85,Actual
06/06/2018 11:30,83.42,8706.3,6483.71,618.91,-1538.47,Actual
06/06/2018 12:00,83.97,8736.06,6495.94,604.73,-1571.73,Actual
06/06/2018 12:30,85.66,8726.66,6410.7,635.02,-1624.59,Actual
06/06/2018 13:00,89.23,8673.46,6593.19,615.59,-1428.04,Actual
06/06/2018 13:30,96.43,8789.11,6678.44,619.33,-1452.79,Actual
06/06/2018 14:00,86.41,8842.29,6694.72,612.98,-1492.65,Actual
06/06/2018 14:30,83.83,8911.34,6813.29,583.1,-1473.37,Actual
06/06/2018 15:00,86.05,8957.91,6835.21,571.18,-1505.64,Actual
06/06/2018 15:30,85.56,9039.14,6815.47,562.88,-1603.16,Actual
06/06/2018 16:00,109.03,9396.66,6968.81,553.79,-1802.59,Actual
06/06/2018 16:30,180.4,9717.89,7165.2,529.61,-1942.28,Actual
06/06/2018 17:00,164.78,10154.66,7481.28,481.54,-2095.74,Actual
06/06/2018 17:30,146.34,10735.76,8262.61,371.95,-2020.47,Actual
06/06/2018 18:00,110.88,11028.69,9135.14,375.49,-1479.39,Actual
06/06/2018 18:30,130.22,10955.19,9353.15,396.88,-1180.96,Actual
06/06/2018 19:00,101.03,10800.4,9125.98,394.02,-1261.19,Actual
06/06/2018 19:30,126.18,10572.2,8504.36,415.44,-1615.29,Actual
06/06/2018 20:00,112.72,10375.63,8007.84,416.12,-1889.95,Actual
06/06/2018 20:30,127.96,10146.59,7434.9,406.18,-2203.31,Actual
06/06/2018 21:00,107.97,9822.14,7418.09,418.91,-1918.54,Actual
06/06/2018 21:30,103.9,9589.05,7414.54,382.15,-1738.7,Actual
06/06/2018 22:00,84.92,9203.33,7211.26,400.39,-1551.44,Actual
06/06/2018 22:30,99.68,9159.28,7015.56,436.38,-1649.27,Actual
06/06/2018 23:00,88.97,8816.78,6908.49,457.83,-1412.24,Actual
06/06/2018 23:30,97.73,8649.19,6742.81,455.86,-1414.73,Actual
07/06/2018 00:00,88.78,8400.17,6662.93,411.91,-1293.55,Actual
07/06/2018 00:30,75.16,8144.65,6535.75,514.13,-1066.15,Actual
07/06/2018 01:00,tacos,8003.07,6486.13,548.42,-952.69,Actual
07/06/2018 01:30,55.36,7686.38,6108.02,564.18,-997.39,Actual
07/06/2018 02:00,58.27,7507.44,5766.21,557.58,-1153.72,Actual
07/06/2018 02:30,52.45,7129.64,5274.74,534.55,-1276.41,Actual
07/06/2018 03:00,51.77,6974.96,5045.77,521.53,-1351.25,Actual
07/06/2018 03:30,50.77,6782.87,4837.07,520.86,-1366.23,Actual
07/06/2018 04:00,52.28,6732.48,4796.62,521.36,-1354.72,Actual
07/06/2018 04:30,52.33,6741.55,4942.56,520.22,-1218.67,Actual
07/06/2018 05:00,47.82,6847.18,5137.18,534.62,-1120.65,Actual
07/06/2018 05:30,51.09,7223.95,5692.39,538.99,-933.82,Actual
07/06/2018 06:00,60.25,7601.09,6049.07,525.6,-981.35,Actual
07/06/2018 06:30,87.15,8320.42,6642.59,518.63,-1129.23,Actual
07/06/2018 07:00,163.1,9034.26,6940.94,523.14,-1525.68,Actual
07/06/2018 07:30,128.76,9502.48,7201.98,501.04,-1737.16,Actual
07/06/2018 08:00,135.22,9785.73,7207.79,517.1,-1979.68,Actual
07/06/2018 08:30,141.58729,9771.63,7104.99574,500.77426,-2085.36,Forecast
07/06/2018 09:00,126.65629,9448.68,7039.99674,539.39326,-1816.25,Forecast
07/06/2018 09:30,278.90896,9280.48,7410.00174,567.07826,-1257.58,Forecast
07/06/2018 10:00,216.65203,9080.43,7389.99774,588.44226,-1062.02,Forecast
07/06/2018 10:30,138.11351,8905.96,7335.00174,587.74826,-957.73,Forecast
07/06/2018 11:00,103.91372,8775.14,6680.99874,588.49126,-1470.46,Forecast
07/06/2018 11:30,95,8605.24,6250.94974,583.20026,-1723,Forecast
07/06/2018 12:00,95,8458.41,6224.44074,575.66926,-1618.12,Forecast
07/06/2018 12:30,85.01,8373.37,6317.91474,580.63526,-1443.91,Forecast
07/06/2018 13:00,85.01,8319.48,6531.48574,558.32426,-1207.52,Forecast
07/06/2018 13:30,73.21675,8311.89,6136.32874,557.50126,-1581.35,Forecast
07/06/2018 14:00,78.56701,8274.19,6231.00174,532.68826,-1479.7,Forecast
07/06/2018 14:30,85.01,8326.8,6281.66474,512.82526,-1500.47,Forecast
07/06/2018 15:00,85,8354.78,6807.48474,487.20526,-1045.49,Forecast
07/06/2018 15:30,92.6402,8467.96,6907.08274,436.29726,-1112.28,Forecast
07/06/2018 16:00,99.68083,8692.31,6750.99974,390.01026,-1518.38,Forecast
07/06/2018 16:30,98.77651,8939.44,6900.99574,374.27426,-1626.32,Forecast
07/06/2018 17:00,113.89177,9393.57,7074.99774,348.91226,-1907.94,Forecast
07/06/2018 17:30,117.69671,10067.41,7229.99974,353.61026,-2373.44,Forecast
07/06/2018 18:00,159.58912,10526.71,7309.99774,360.16226,-2690.01,Forecast
07/06/2018 18:30,299.6,10468.46,7368.21274,368.67726,-2574.44,Forecast
07/06/2018 19:00,219.68408,10376,7305.00074,380.28926,-2529.2,Forecast
07/06/2018 19:30,127.61509,10108.9,7275.00074,383.36926,-2331.85,Forecast
07/06/2018 20:00,122.97422,9935.93,7255.00074,396.65926,-2180.34,Forecast
07/06/2018 20:30,131.34071,9777.58,7085.00474,390.81526,-2174.5,Forecast
07/06/2018 21:00,123.19752,9506.27,7084.99774,409.04226,-1907.28,Forecast
07/06/2018 21:30,112.63054,9205.18,7064.99574,418.90426,-1669.03,Forecast
07/06/2018 22:00,91.43895,8966.71,7026.11974,410.50026,-1487.02,Forecast
07/06/2018 22:30,91.21345,8873.83,7016.99774,400.80226,-1414.05,Forecast
07/06/2018 23:00,87.99161,8591.74,6990.00274,405.71726,-1163.4,Forecast
07/06/2018 23:30,66.94833,8468.51,6892.97074,397.16926,-1145.51,Forecast
08/06/2018 00:00,63.01448,8314.71,6873.67574,429.35426,-993.61,Forecast
08/06/2018 00:30,61,8193.09,6385.92174,449.99826,-1315.88,Forecast
08/06/2018 01:00,58,8023.64,6049.21574,415.33426,-1498.49,Forecast
08/06/2018 01:30,59.4494,7819.84,5675.99774,419.67226,-1648.26,Forecast
08/06/2018 02:00,62.51,7592.02,5299.93774,430.28226,-1771.26,Forecast
08/06/2018 02:30,58,7272.19,4875.17574,443.90426,-1850.33,Forecast
08/06/2018 03:00,52,6993.82,4739.83374,451.42626,-1706.84,Forecast
08/06/2018 03:30,48.01,6816.63,4570.81174,471.21826,-1677.78,Forecast
08/06/2018 04:00,48.01,6723.27,4533.75374,479.65626,-1614.61,Forecast