R^2=,0.994779,Chi^2 =,0.118529,Analyte=,,,,,,,,
Plate,Sample,Type,Known Conc. (ug/ml),Binding Rate,Calc. Conc. (ug/ml),Residual(%),R Square,Plate Number,Sample Location,Sample ID,Sample Date,Project ID
161219,A1,Unknown,,0.031820468,286.3399008,,1.098100538,1,A1,N/A,12/7/2016,JY-29-198|005|7
161219,B1,Unknown,,0.033925876,299.2686619,,1.098899605,1,B1,N/A,12/7/2016,JY-29-198|005|8
161219,C1,Unknown,,0.034418303,302.2925292,,1.098242542,1,C1,N/A,12/7/2016,JY-29-198|005|9
161219,D1,Unknown,,0.034338912,301.8050157,,1.098842865,1,D1,N/A,12/7/2016,JY-29-198|005|10
161219,E1,Unknown,,0.032632956,291.3291828,,1.098258888,1,E1,N/A,12/7/2016,JY-29-198|005|11
161219,F1,Unknown,,0.032179418,288.5441148,,1.098508433,1,F1,N/A,12/7/2016,JY-29-198|005|12
161219,G1,Unknown,,0.103168093,706.4159908,,1.098335171,1,G1,N/A,12/9/2016,JY-29-198|005|1
161219,H1,Unknown,,0.10212243,700.6592134,,1.098040126,1,H1,N/A,12/9/2016,JY-29-198|005|2
161219,A2,Unknown,,0.103584621,708.7091442,,1.099170274,1,A2,N/A,12/9/2016,JY-29-198|005|3
161219,B2,Unknown,,0.112581007,758.2377701,,1.098762644,1,B2,N/A,12/9/2016,JY-29-198|005|4
161219,C2,Unknown,,0.108223683,734.2489988,,1.098450637,1,C2,N/A,12/9/2016,JY-29-198|005|5
161219,D2,Unknown,,0.115432651,773.93719,,1.09846646,1,D2,N/A,12/9/2016,JY-29-198|005|6
161219,E2,Unknown,,0.070071716,521.2309004,,1.098207305,1,E2,N/A,12/9/2016,JY-29-198|005|7
161219,F2,Unknown,,0.0785461,570.8622844,,1.098198115,1,F2,N/A,12/9/2016,JY-29-198|005|8
161219,G2,Unknown,,0.086701825,615.7627456,,1.098547828,1,G2,N/A,12/9/2016,JY-29-198|005|9
161219,H2,Unknown,,0.08576986,610.6319123,,1.098051221,1,H2,N/A,12/9/2016,JY-29-198|005|10
161219,A3,Unknown,,0.073770699,543.9453982,,1.098782898,1,A3,N/A,12/9/2016,JY-29-198|005|11
161219,B3,Unknown,,0.084797191,605.2769861,,1.098419688,1,B3,N/A,12/9/2016,JY-29-198|005|12
161219,C3,Unknown,,0.240717916,1528.247448,,1.098545583,1,C3,N/A,12/12/2016,JY-29-198|005|1
161219,D3,Unknown,,0.230161294,1459.811136,,1.098641445,1,D3,N/A,12/12/2016,JY-29-198|005|2
161219,E3,Unknown,,0.25102041,1595.036301,,1.099280856,1,E3,N/A,12/12/2016,JY-29-198|005|3
161219,F3,Unknown,,0.246016704,1562.598346,,1.098936546,1,F3,N/A,12/12/2016,JY-29-198|005|4
161219,G3,Unknown,,0.210614879,1333.095922,,1.097276991,1,G3,N/A,12/12/2016,JY-29-198|005|5
161219,H3,Unknown,,0.209065395,1323.050952,,1.098365893,1,H3,N/A,12/12/2016,JY-29-198|005|6
161219,A4,Unknown,,0.113012379,760.612642,,1.098753156,1,A4,N/A,12/12/2016,JY-29-198|005|7
161219,B4,Unknown,,0.137029874,892.838358,,1.098485777,1,B4,N/A,12/12/2016,JY-29-198|005|8
161219,C4,Unknown,,0.14055242,912.2313517,,1.098686263,1,C4,N/A,12/12/2016,JY-29-198|005|9
161219,D4,Unknown,,0.149352419,960.6787896,,1.098754908,1,D4,N/A,12/12/2016,JY-29-198|005|10
161219,E4,Unknown,,0.128760284,847.3110295,,1.098632874,1,E4,N/A,12/12/2016,JY-29-198|005|11
161219,F4,Unknown,,0.148151838,954.069126,,1.098781615,1,F4,N/A,12/12/2016,JY-29-198|005|12
161219,G4,Unknown,,0.125802251,2077.56475,,1.098747617,1,G4,N/A,12/14/2016,JY-29-198|005|1
161219,H4,Unknown,,0.126611943,2088.708915,,1.098285111,1,H4,N/A,12/14/2016,JY-29-198|005|2
161219,A5,Unknown,,0.144187979,2330.61632,,1.098723382,1,A5,N/A,12/14/2016,JY-29-198|005|3
161219,B5,Unknown,,0.148509645,2390.097472,,1.098520949,1,B5,N/A,12/14/2016,JY-29-198|005|4
161219,C5,Unknown,,0.130026096,2135.699544,,1.097975252,1,C5,N/A,12/14/2016,JY-29-198|005|5
161219,D5,Unknown,,0.130268072,2139.029979,,1.097060909,1,D5,N/A,12/14/2016,JY-29-198|005|6
161219,E5,Unknown,,0.159178852,2536.942877,,1.096807799,1,E5,N/A,12/16/2016,JY-29-198|005|1
161219,F5,Unknown,,0.15323331,2455.111545,,1.097511076,1,F5,N/A,12/16/2016,JY-29-198|005|2
161219,G5,Unknown,,0.169002372,2672.148691,,1.098328659,1,G5,N/A,12/16/2016,JY-29-198|005|3
161219,H5,Unknown,,0.17681308,2784.915315,,1.098732449,1,H5,N/A,12/16/2016,JY-29-198|005|4
161219,A6,Unknown,,0.152156409,2440.289639,,1.098396129,1,A6,N/A,12/16/2016,JY-29-198|005|5
161219,B6,Unknown,,0.167046759,2645.232656,,1.09827453,1,B6,N/A,12/16/2016,JY-29-198|005|6
161219,C6,Unknown,,0.190183853,3001.614928,,1.098394419,1,C6,N/A,12/18/2016,JY-29-198|005|1
161219,D6,Unknown,,0.196669274,3106.723903,,1.098531135,1,D6,N/A,12/18/2016,JY-29-198|005|2
161219,E6,Unknown,,0.202959078,3208.662534,,1.097681654,1,E6,N/A,12/18/2016,JY-29-198|005|3
161219,F6,Unknown,,0.206168965,3260.685049,,1.095917116,1,F6,N/A,12/18/2016,JY-29-198|005|4
161219,G6,Unknown,,0.181780899,2865.428568,,1.098173457,1,G6,N/A,12/18/2016,JY-29-198|005|5
161219,H6,Unknown,,0.17936356,2826.250833,,1.098801805,1,H6,N/A,12/18/2016,JY-29-198|005|6
161219,A7,Unknown,,0.205261964,64.91970607,,1.098467226,1,A7,N/A,,
161219,B7,Unknown,,0.054419973,21.25588011,,1.097875561,1,B7,N/A,,
161219,C7,Unknown,,-0.000184576,,,0.046756105,1,C7,N/A,,
161219,D7,Unknown,,-0.000403394,,,0.207727433,1,D7,N/A,,
161219,E7,Unknown,,-0.000253349,,,0.104491775,1,E7,N/A,,
161219,F7,Unknown,,-0.000220847,,,0.070389336,1,F7,N/A,,
161219,G7,Unknown,,-0.000324581,,,0.114246752,1,G7,N/A,,
161219,H7,Unknown,,-0.000406681,,,0.287355817,1,H7,N/A,,
